,Player,MAT,INNS,NO,RUNS,HS,AVG,BF,SR,100s,50s,6s,4s
42,40. Mahipal Lomror,6,6,1,234,101,46.80,275,85.09,1,1,5,19
43,Player,MAT,INNS,NO,RUNS,HS,AVG,BF,SR,100s,50s,6s,4s
44,41. Robin Bist,5,5,1,234,130,58.50,282,82.98,1,-,2,18
45,42. S Gani,5,4,1,231,114,77.00,252,91.67,1,1,6,20
46,43. Shahbaz Ahmed,5,5,2,227,106,75.67,231,98.27,1,1,8,16
47,44. Jay Bista,5,5,-,226,93,45.20,287,78.75,-,3,3,19
48,45. Sachin Baby,6,6,2,224,83,56.00,250,89.60,-,3,7,13
49,46. Ganesh Satish,7,7,-,221,110,31.57,259,85.33,1,-,2,23
50,47. Riyan Parag,5,5,-,215,66,43.00,219,98.17,-,3,6,19
51,48. Snehal Kauthankar,5,5,1,213,148,53.25,228,93.42,1,-,4,21
52,49. Liyan Khan,5,5,-,213,120,42.60,284,75.00,1,-,1,29
53,50. Aditya Shrivastava,6,6,1,211,104,42.20,219,96.35,1,1,5,14
54,Player,MAT,INNS,NO,RUNS,HS,AVG,BF,SR,100s,50s,6s,4s
55,51. Lalit Yadav,5,5,-,210,75,42.00,243,86.42,-,2,1,27
56,52. Faiz Fazal,7,7,1,210,102,35.00,373,56.30,1,-,1,25
57,53. Kathan Patel,4,4,1,209,130,69.67,262,79.77,1,-,3,29
58,54. Himmat Singh,5,5,1,208,113,52.00,293,70.99,1,-,2,24
59,55. Vishnu Vinod,6,6,2,204,100,51.00,180,113.33,1,-,6,14
60,56. Yash Rathod,7,6,2,203,76,50.75,236,86.02,-,2,2,17
61,57. Harvik Desai,7,7,1,203,101,33.83,266,76.32,1,1,2,30
62,58. Nikhil Gangta,6,6,-,202,81,33.67,214,94.39,-,2,7,23
63,59. Rahul Tripathi,5,5,1,199,99,49.75,210,94.76,-,2,1,24
64,60. Deepak Hooda,6,6,-,198,109,33.00,207,95.65,1,-,8,16
65,Player,MAT,INNS,NO,RUNS,HS,AVG,BF,SR,100s,50s,6s,4s
66,61. Virat Singh,5,5,1,196,79,49.00,234,83.76,-,2,2,17
67,62. Abhishek Das,5,5,-,196,62,39.20,224,87.50,-,2,5,28
68,63. Utkarsh Singh,5,5,1,191,78,47.75,268,71.27,-,3,3,14
69,64. Shrikant Mundhe,5,5,1,188,74,47.00,255,73.73,-,2,1,24
70,65. Mangal Mahrour,5,5,2,188,94,62.67,222,84.68,-,1,3,17
71,66. Swapnil Singh,5,5,-,188,66,37.60,207,90.82,-,2,3,13
72,67. Shivam Chauhan,5,5,-,187,107,37.40,264,70.83,1,-,1,19
73,68. Taruwar Kohli,5,5,1,185,94,46.25,240,77.08,-,2,1,19
74,69. Prabhsimran Singh,5,5,1,185,73,46.25,205,90.24,-,2,6,21
75,70. Sanjeet Desai,3,3,-,185,106,61.67,210,88.10,1,-,4,19
76,Player,MAT,INNS,NO,RUNS,HS,AVG,BF,SR,100s,50s,6s,4s
77,71. Eknath Kerkar,4,4,2,183,70,91.50,279,65.59,-,2,5,9
78,72. Mohit Ahlawat,7,7,1,182,71,30.33,233,78.11,-,1,2,19
79,73. Bipin Saurabh,5,4,1,182,92,60.67,203,89.66,-,2,3,16
80,74. Tilak Varma,5,5,-,180,139,36.00,206,87.38,1,-,9,10
81,75. Aryan Juyal,7,7,1,179,120,29.83,247,72.47,1,-,2,17
82,76. Nazeed Saiyed,5,5,1,178,75,44.50,275,64.73,-,1,4,18
83,77. Apoorv Wankhade,3,3,-,177,79,59.00,167,105.99,-,2,7,16
84,78. Akshdeep Nath,7,5,-,176,78,35.20,243,72.43,-,1,2,18
85,79. Madhav Kaushik,4,4,-,175,89,43.75,231,75.76,-,1,5,16
86,80. Aditya Kaushik,5,5,-,175,53,35.00,261,67.05,-,1,3,21
